Start,End,Role,Committee,Organization
2017,,Committee Member,Committee on Strategic Planning,International Association of Chinese Infrastructure Professionals (IACIP)
2017,,Chair for Award Sub-committee,Committee on Geotechnics of Soil Erosion,ASCE Geo-Institute 
2015,,Committee Member,Committee on Engineering Geology and Site Characterization,ASCE Geo-Institute 
2017,2019,Committee Chair,Committee on Slope Stability and Retaining Structures,World Transport Convention (China)
2016,2019,Committee Member,AFS40 Committee on Subsurface Soil-Structure Interaction,TRB 
2016,2019,Committee Member,AFD35 Committee on Bridge Management,TRB 
2016,2019,Committee Member,AFD20 Committee on Pavement Monitoring and Evaluation,TRB 
2015,2018,Committee Member,AFS10 Standing Committee on Transportation Earthworks,TRB 
2014,2017,Young Committee Member,AFS60 Standing Committee on Hydrology,TRB 
2013,2016,Committee Member,AFD35 Committee on Bridge Management,TRB 
2013,2016,Young Committee Member,AFD20 Committee on Pavement Monitoring and Evaluation,TRB 
2014,2014,Young Committee Member,AFS40 Committee on Subsurface Soil-Structure Interaction,TRB 
