Start,End,Type,Role,Committee,Organization
2020,,committee_unit,Committee Member,Curriculum Committee,CBBG
2018,,committee_unit,Committee Member,CESE Academic Affairs (Curriculum) Committee of School of Sustainable Engineering and the Built Environment,ASU
2018,,committee_school,Faculty Volunteer,E2 Camp,ASU
2022,2022,committee_unit,Committee Member,Faculty Research Committee,ASU
2022,2022,committee_unit,Panelist,SSEBE NSF CAREER proposal workshop,ASU
2021,2021,committee_unit,Panelist,SSEBE NSF CAREER proposal workshop,ASU
2020,2020,committee_school,Panelist,FSE NSF CAREER proposal writing workshop,ASU
2019,2019,committee_university,Faculty representative,Graduation Convocation,ASU
2014,2018,committee_unit,Committee Chair,Computer Committee of Department of Civil Engineering,UAkron
2013,2018,committee_unit,Committee Co-Chair,Seminar Committee of Department of Civil Engineering,UAkron
2014,2018,committee_unit,Committee Member,Faculty Research Committee,UAkron
